,knn__algorithm,knn__metric,knn__n_neighbors,knn__weights,auc,f1,sensitivity,specificity,accuracy
Outer 284,auto,euclidean,3,uniform,0.5805436697709541,0.1111111111111111,0.06896551724137931,0.9635036496350365,0.8072289156626506
Outer 285,auto,euclidean,3,uniform,0.6127611376793356,0.17647058823529413,0.10344827586206896,0.9854014598540146,0.8313253012048193
Outer 286,auto,euclidean,3,uniform,0.6243392902089101,0.11764705882352941,0.06896551724137931,0.9781021897810219,0.8192771084337349
Outer 287,auto,euclidean,3,uniform,0.6833626982129373,0.3157894736842105,0.20689655172413793,0.9781021897810219,0.8433734939759037
Outer 288,auto,euclidean,3,uniform,0.6224515479486534,0.2631578947368421,0.1724137931034483,0.9708029197080292,0.8313253012048193
Outer 289,auto,euclidean,3,uniform,0.5943871130128365,0.17142857142857143,0.10344827586206896,0.9781021897810219,0.8253012048192772
Outer 290,auto,euclidean,3,uniform,0.52617669267556,0.15384615384615385,0.10344827586206896,0.948905109489051,0.8012048192771084
Outer 291,auto,euclidean,3,uniform,0.7188522527057639,0.3333333333333333,0.20689655172413793,0.9927007299270073,0.8554216867469879
Outer 292,auto,euclidean,3,uniform,0.5980367480493329,0.21621621621621623,0.13793103448275862,0.9708029197080292,0.8253012048192772
Outer 293,auto,euclidean,3,uniform,0.6447269066196829,0.2926829268292683,0.20689655172413793,0.9562043795620438,0.8253012048192772
Outer 294,auto,euclidean,3,uniform,0.5544928265794111,0.15789473684210525,0.10344827586206896,0.9562043795620438,0.8072289156626506
Outer 295,auto,euclidean,3,uniform,0.59249937075258,0.17647058823529413,0.10344827586206896,0.9854014598540146,0.8313253012048193
Outer 296,auto,euclidean,3,uniform,0.6740498363956707,0.25,0.1724137931034483,0.9562043795620438,0.8192771084337349
Outer 297,auto,euclidean,3,uniform,0.6516486282406242,0.2777777777777778,0.1724137931034483,0.9854014598540146,0.8433734939759037
Outer 298,auto,euclidean,3,uniform,0.6267304304052354,0.16666666666666666,0.10344827586206896,0.9708029197080292,0.8192771084337349
Outer 299,auto,euclidean,3,uniform,0.6267304304052354,0.2,0.13793103448275862,0.948905109489051,0.8072289156626506
Outer 300,auto,euclidean,3,uniform,0.6049584696702743,0.11428571428571428,0.06896551724137931,0.9708029197080292,0.8132530120481928
Outer 301,auto,euclidean,3,uniform,0.551220739994966,0.12121212121212122,0.06896551724137931,0.9854014598540146,0.8253012048192772
