,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_depth,bootstrap,auc,f1,sensitivity,specificity,accuracy
Outer 718,66,4,1,0.7813150440959789,5,True,0.6997231311351624,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 719,61,4,1,0.9128976558313269,3,True,0.7717090359929525,0.0,0.0,1.0,0.8253012048192772
Outer 720,69,3,2,0.7380423517353965,10,True,0.7968789327963754,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 721,25,4,4,0.857928801387593,4,True,0.65139692927259,0.0,0.0,1.0,0.8253012048192772
Outer 722,71,2,4,0.9249764849853886,6,True,0.6843694940850742,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 723,55,5,3,0.5939181809642073,4,True,0.6370500880946388,0.1212121212121212,0.06896551724137931,0.9854014598540146,0.8253012048192772
Outer 724,70,5,4,0.8211765563404757,4,True,0.7377296753083313,0.0,0.0,0.9927007299270073,0.8192771084337349
Outer 725,66,2,3,0.9814303271589416,7,True,0.753838409262522,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 726,61,2,2,0.9776608913090957,8,True,0.8119808708784294,0.18181818181818182,0.10344827586206896,0.9927007299270073,0.8373493975903614
Outer 727,66,4,4,0.9844497203343403,2,True,0.7691920463126102,0.0,0.0,1.0,0.8253012048192772
Outer 728,52,3,4,0.6557318507990049,2,True,0.6712811477472942,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 729,43,5,3,0.9097099329634323,3,True,0.7666750566322679,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 730,56,5,4,0.8704209518510533,5,True,0.7404983639567078,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 731,66,3,3,0.967378913139227,6,True,0.7226277372262774,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 732,75,4,4,0.7136203416381321,7,True,0.6748049332997734,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
