,n_estimators,min_samples_split,min_samples_leaf,max_samples,max_depth,bootstrap,auc,f1,sensitivity,specificity,accuracy
Outer 17 - Inner 1,118,5,4,0.7661141821735449,25,True,0.8290964007047571,0.0,0.0,1.0,0.8253012048192772
Outer 17 - Inner 2,194,6,1,0.6179845225107437,25,True,0.7888245658192801,0.125,0.06896551724137931,0.9927007299270073,0.8313253012048193
Outer 17 - Inner 3,189,10,2,0.558525139783323,24,True,0.8155046564309086,0.0,0.0,1.0,0.8253012048192772
Outer 17 - Inner 4,162,9,4,0.5452463873838241,17,True,0.8059400956456079,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 17 - Inner 5,187,9,4,0.8270848498583913,24,True,0.8167631512710798,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 18 - Inner 0,192,6,3,0.5012815114623124,16,True,0.6808457085325951,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 18 - Inner 1,200,7,3,0.8552479102763033,27,True,0.7128114774729424,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 18 - Inner 2,113,3,2,0.5236879033376738,12,True,0.7260256732947394,0.24242424242424243,0.13793103448275862,1.0,0.8493975903614458
Outer 18 - Inner 3,148,5,1,0.8968759940886796,6,True,0.704757110495847,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 18 - Inner 4,182,4,3,0.8433632304255059,25,True,0.7032469166876415,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 18 - Inner 5,81,2,4,0.5624192772889558,13,True,0.7233828341303801,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 19 - Inner 0,150,7,4,0.6630020298687451,13,True,0.7072741001761893,0.2777777777777778,0.1724137931034483,0.9854014598540146,0.8433734939759037
Outer 19 - Inner 1,122,4,3,0.5826103859025578,10,True,0.7457840422854266,0.2857142857142857,0.1724137931034483,0.9927007299270073,0.8493975903614458
Outer 19 - Inner 2,181,10,4,0.9188730654964374,30,True,0.7485527309338031,0.2857142857142857,0.1724137931034483,0.9927007299270073,0.8493975903614458
Outer 19 - Inner 3,161,7,3,0.9324739274446625,15,True,0.7422602567329474,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 19 - Inner 4,173,8,3,0.8417627107092538,16,True,0.7684369494085074,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 19 - Inner 5,94,7,2,0.7459952330208977,7,True,0.7601308834633778,0.18181818181818182,0.10344827586206896,0.9927007299270073,0.8373493975903614
Outer 20 - Inner 0,69,5,4,0.9373748199668117,5,True,0.7817769947143217,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 20 - Inner 1,187,7,3,0.8767958137394221,6,True,0.7863075761389378,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 20 - Inner 2,107,10,3,0.7398969966323933,18,True,0.7893279637553486,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 20 - Inner 3,120,9,1,0.994742882373493,10,True,0.7347092876919205,0.12903225806451613,0.06896551724137931,1.0,0.8373493975903614
Outer 20 - Inner 4,115,7,3,0.7611591036481391,24,True,0.8107223760382581,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 20 - Inner 5,154,5,4,0.5777473364353745,23,True,0.8034231059652656,0.0,0.0,1.0,0.8253012048192772
Outer 21 - Inner 0,108,8,4,0.8176831279568073,26,True,0.7651648628240624,0.125,0.06896551724137931,0.9927007299270073,0.8313253012048193
Outer 21 - Inner 1,106,5,4,0.6214623961106935,29,True,0.7246413289705511,0.0,0.0,0.9854014598540146,0.8132530120481928
Outer 21 - Inner 2,51,5,3,0.9481224516692055,19,True,0.7469166876415806,0.17647058823529413,0.10344827586206896,0.9854014598540146,0.8313253012048193
Outer 21 - Inner 3,109,5,3,0.8231740531961458,23,True,0.727661716586962,0.18181818181818182,0.10344827586206896,0.9927007299270073,0.8373493975903614
Outer 21 - Inner 4,57,7,2,0.9775772840390249,16,True,0.7045054115278128,0.06666666666666667,0.034482758620689655,1.0,0.8313253012048193
Outer 21 - Inner 5,105,3,3,0.8952125594664739,14,True,0.7764913163856028,0.06451612903225806,0.034482758620689655,0.9927007299270073,0.8253012048192772
Outer 22 - Inner 0,54,8,4,0.8027412651063195,22,True,0.7213692423861062,0.1875,0.10344827586206896,1.0,0.8433734939759037
Outer 22 - Inner 1,194,9,3,0.5891681924455207,22,True,0.7513214195821798,0.12121212121212122,0.06896551724137931,0.9854014598540146,0.8253012048192772
Outer 22 - Inner 2,55,8,4,0.6702079123809126,22,True,0.7452806443493583,0.23529411764705882,0.13793103448275862,0.9927007299270073,0.8433734939759037
